id,parent_id,order,unit_type,source_local_ids,source_path,line_start,line_end,source_sha256,translation_state,rights_component_ids
800f9dd1-220d-5885-9921-06e4d5b61e31,697eee11-37f2-5f2e-8492-16a070ccd069,12,guided_exercise,"[""R011-B009"",""ch03-sec3.1-12""]",ch_probability/TeX/ch_probability.tex,486,490,c02352fb8a5deb36ea6b7401858c8ada0ef8709c382dd6825b2150d8fa63c229,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
8445e7de-dd67-55c8-8497-e1bc10ee1dfd,2285033f-f28c-51ac-ad8b-b8bb2de4267b,1,solution,"[""R011-B011"",""guided-inline-answer-2""]",ch_probability/TeX/ch_probability.tex,1685,1685,a79d3b9b70e7d7f5d7963168af53e4ab75e2b1599bdcd029a70fedc2a87d4b7d,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""b8ee2bc6-8b07-51f4-8124-2fd462cd606b""]"
85124b7a-8d55-5597-8711-5649f8f185e2,b4cd26a2-3443-5b4d-9a38-f2d9766ae10a,9,guided_exercise,"[""nexercise-2.1-09"",""R011-B005""]",ch_summarizing_data/TeX/ch_summarizing_data.tex,896,899,a4ba4dc715e095aa3cd10f30b58c7d266b8c47c7092c3e3e960c381c01cae430,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
855224d9-3d86-54f4-96a9-9f4d335ced40,06b28e64-c231-50b0-b1f6-648ba4ba5102,1010,worked_example,"[""R011-B014""]",ch_distributions/TeX/ch_distributions.tex,152,170,c151e20cd82be29bd3e06457506e478570c72de961c7b88dc24a022a5a110f01,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""5013dc5b-3a29-5516-9948-98c064aa43e8""]"
855eddee-573a-572b-941a-4da454b53d74,0135feda-7bfb-5aa7-b3cb-0ad3ada718b2,1,companion_gap,"[""O001"",""eoce_2_2"",""R011-B005""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
86182b92-ee8a-559c-968c-7d194c50e9c9,5418b4f9-77ac-546a-b7e2-5bc1c3fb75ca,1,companion_gap,"[""O001"",""eoce_1_28"",""R011-B003""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
86a3e7b7-abec-5677-b5cf-7e7dbdb08ae4,a766f9cd-f941-5953-b2d9-9d5f0b9a8764,30,guided_exercise,"[""R011-B011""]",ch_probability/TeX/ch_probability.tex,1651,1655,05f9d4506f64acd082ca684e490c4fb62133838b6bf032b0a18e129f7829329c,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""b8ee2bc6-8b07-51f4-8124-2fd462cd606b""]"
86e62e31-0bad-56b8-89e6-94f25f6bff23,874701bb-ab89-5499-9df6-344ae73c9aa3,3,guided_exercise,"[""R011-B010"",""ch03-sec3.2-03""]",ch_probability/TeX/ch_probability.tex,1096,1113,9f5e6ab300eccc4dca8ea4f2376c318d1032d2e110339ad7c345bc0c0f65a6ae,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
874701bb-ab89-5499-9df6-344ae73c9aa3,193a93a2-5f42-56b5-a579-7a4c8b028e6d,3,subsection,"[""R011-B010"",""defining-conditional-probability""]",ch_probability/TeX/ch_probability.tex,947,1130,3bf26281f8d42e07d337e83db109c8be33535e84caaae4e978871ca7f7384b86,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
8759fdd7-08ec-51f2-8f2d-655e40548142,97422792-2010-5ea8-9616-b1f55c20cdf6,29,solution,"[""answer_2_29"",""R011-B008""]",extraTeX/eoceSolutions/eoceSolutions.tex,383,389,7b5373c2deaec77245c873efad5b579d036c684b587d2ab0668f13a1c715b51b,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
